description,proteins,fats,carbohydrates,calories,answer
milk filled fluid with blend of hydrogenated vegetable oils,3.33,3.46,4.74,63.0,"{""proteins"": 3.33, ""fats"": 3.46, ""carbohydrates"": 4.74, ""calories"": 63.0}"
milk filled fluid with lauric acid oil,3.33,3.4,4.74,63.0,"{""proteins"": 3.33, ""fats"": 3.4, ""carbohydrates"": 4.74, ""calories"": 63.0}"
cheese american nonfat or fat free,21.05,0.0,10.53,126.0,"{""proteins"": 21.05, ""fats"": 0.0, ""carbohydrates"": 10.53, ""calories"": 126.0}"
cream substitute liquid with hydrogenated vegetable oil and soy protein,1.0,9.97,11.38,136.0,"{""proteins"": 1.0, ""fats"": 9.97, ""carbohydrates"": 11.38, ""calories"": 136.0}"
cream substitute liquid with lauric acid oil and sodium caseinate,1.0,9.97,11.38,136.0,"{""proteins"": 1.0, ""fats"": 9.97, ""carbohydrates"": 11.38, ""calories"": 136.0}"
cream substitute powdered,2.48,32.92,59.29,529.0,"{""proteins"": 2.48, ""fats"": 32.92, ""carbohydrates"": 59.29, ""calories"": 529.0}"
dessert topping powdered,4.9,39.92,52.54,577.0,"{""proteins"": 4.9, ""fats"": 39.92, ""carbohydrates"": 52.54, ""calories"": 577.0}"
dessert topping powdered 1.5 ounce prepared with 1/2 cup milk,3.61,12.72,17.13,194.0,"{""proteins"": 3.61, ""fats"": 12.72, ""carbohydrates"": 17.13, ""calories"": 194.0}"
dessert topping pressurized,0.98,22.3,16.07,264.0,"{""proteins"": 0.98, ""fats"": 22.3, ""carbohydrates"": 16.07, ""calories"": 264.0}"
dessert topping semi solid frozen,1.25,25.31,23.05,318.0,"{""proteins"": 1.25, ""fats"": 25.31, ""carbohydrates"": 23.05, ""calories"": 318.0}"
sour cream imitation cultured,2.4,19.52,6.63,208.0,"{""proteins"": 2.4, ""fats"": 19.52, ""carbohydrates"": 6.63, ""calories"": 208.0}"
milk substitutes fluid with lauric acid oil,1.75,3.41,6.16,61.0,"{""proteins"": 1.75, ""fats"": 3.41, ""carbohydrates"": 6.16, ""calories"": 61.0}"
milk whole 3.25% milkfat with added vitamin d,3.15,3.25,4.8,61.0,"{""proteins"": 3.15, ""fats"": 3.25, ""carbohydrates"": 4.8, ""calories"": 61.0}"
milk producer fluid 3.7% milkfat,3.28,3.66,4.65,64.0,"{""proteins"": 3.28, ""fats"": 3.66, ""carbohydrates"": 4.65, ""calories"": 64.0}"
milk reduced fat fluid 2% milkfat with added vitamin a and vitamin d,3.3,1.98,4.8,50.0,"{""proteins"": 3.3, ""fats"": 1.98, ""carbohydrates"": 4.8, ""calories"": 50.0}"
milk reduced fat fluid 2% milkfat with added nonfat milk solids and vitamin a and vitamin d,3.48,1.92,4.97,51.0,"{""proteins"": 3.48, ""fats"": 1.92, ""carbohydrates"": 4.97, ""calories"": 51.0}"
milk reduced fat fluid 2% milkfat protein fortified with added vitamin a and vitamin d,3.95,1.98,5.49,56.0,"{""proteins"": 3.95, ""fats"": 1.98, ""carbohydrates"": 5.49, ""calories"": 56.0}"
milk lowfat fluid 1% milkfat with added vitamin a and vitamin d,3.37,0.97,4.99,42.0,"{""proteins"": 3.37, ""fats"": 0.97, ""carbohydrates"": 4.99, ""calories"": 42.0}"
milk lowfat fluid 1% milkfat with added nonfat milk solids vitamin a and vitamin d,3.48,0.97,4.97,43.0,"{""proteins"": 3.48, ""fats"": 0.97, ""carbohydrates"": 4.97, ""calories"": 43.0}"
milk lowfat fluid 1% milkfat protein fortified with added vitamin a and vitamin d,3.93,1.17,5.52,48.0,"{""proteins"": 3.93, ""fats"": 1.17, ""carbohydrates"": 5.52, ""calories"": 48.0}"
milk nonfat fluid with added vitamin a and vitamin d (fat free or skim),3.37,0.08,4.96,34.0,"{""proteins"": 3.37, ""fats"": 0.08, ""carbohydrates"": 4.96, ""calories"": 34.0}"
milk nonfat fluid with added nonfat milk solids vitamin a and vitamin d (fat free or skim),3.57,0.25,5.02,37.0,"{""proteins"": 3.57, ""fats"": 0.25, ""carbohydrates"": 5.02, ""calories"": 37.0}"
milk nonfat fluid protein fortified with added vitamin a and vitamin d (fat free and skim),3.96,0.25,5.56,41.0,"{""proteins"": 3.96, ""fats"": 0.25, ""carbohydrates"": 5.56, ""calories"": 41.0}"
milk buttermilk fluid cultured lowfat,3.31,0.88,4.79,40.0,"{""proteins"": 3.31, ""fats"": 0.88, ""carbohydrates"": 4.79, ""calories"": 40.0}"
milk low sodium fluid,3.1,3.46,4.46,61.0,"{""proteins"": 3.1, ""fats"": 3.46, ""carbohydrates"": 4.46, ""calories"": 61.0}"
milk dry whole with added vitamin d,26.32,26.71,38.42,496.0,"{""proteins"": 26.32, ""fats"": 26.71, ""carbohydrates"": 38.42, ""calories"": 496.0}"
milk dry nonfat regular without added vitamin a and vitamin d,36.16,0.77,51.98,362.0,"{""proteins"": 36.16, ""fats"": 0.77, ""carbohydrates"": 51.98, ""calories"": 362.0}"
milk dry nonfat instant with added vitamin a and vitamin d,35.1,0.72,52.19,358.0,"{""proteins"": 35.1, ""fats"": 0.72, ""carbohydrates"": 52.19, ""calories"": 358.0}"
milk dry nonfat calcium reduced,35.5,0.2,51.8,354.0,"{""proteins"": 35.5, ""fats"": 0.2, ""carbohydrates"": 51.8, ""calories"": 354.0}"
milk buttermilk dried,34.3,5.78,49.0,387.0,"{""proteins"": 34.3, ""fats"": 5.78, ""carbohydrates"": 49.0, ""calories"": 387.0}"
milk canned condensed sweetened,7.91,8.7,54.4,321.0,"{""proteins"": 7.91, ""fats"": 8.7, ""carbohydrates"": 54.4, ""calories"": 321.0}"
milk canned evaporated with added vitamin d and without added vitamin a,6.81,7.56,10.04,134.0,"{""proteins"": 6.81, ""fats"": 7.56, ""carbohydrates"": 10.04, ""calories"": 134.0}"
milk canned evaporated nonfat with added vitamin a and vitamin d,7.55,0.2,11.35,78.0,"{""proteins"": 7.55, ""fats"": 0.2, ""carbohydrates"": 11.35, ""calories"": 78.0}"
milk chocolate fluid commercial whole with added vitamin a and vitamin d,3.17,3.39,10.34,83.0,"{""proteins"": 3.17, ""fats"": 3.39, ""carbohydrates"": 10.34, ""calories"": 83.0}"
milk chocolate fluid commercial reduced fat with added vitamin a and vitamin d,2.99,1.9,12.13,76.0,"{""proteins"": 2.99, ""fats"": 1.9, ""carbohydrates"": 12.13, ""calories"": 76.0}"
milk chocolate lowfat with added vitamin a and vitamin d,3.46,1.0,9.86,62.0,"{""proteins"": 3.46, ""fats"": 1.0, ""carbohydrates"": 9.86, ""calories"": 62.0}"
milk chocolate beverage hot cocoa homemade,3.52,2.34,10.74,77.0,"{""proteins"": 3.52, ""fats"": 2.34, ""carbohydrates"": 10.74, ""calories"": 77.0}"
milk goat fluid with added vitamin d,3.56,4.14,4.45,69.0,"{""proteins"": 3.56, ""fats"": 4.14, ""carbohydrates"": 4.45, ""calories"": 69.0}"
milk human mature fluid,1.03,4.38,6.89,70.0,"{""proteins"": 1.03, ""fats"": 4.38, ""carbohydrates"": 6.89, ""calories"": 70.0}"
milk indian buffalo fluid,3.75,6.89,5.18,97.0,"{""proteins"": 3.75, ""fats"": 6.89, ""carbohydrates"": 5.18, ""calories"": 97.0}"
milk sheep fluid,5.98,7.0,5.36,108.0,"{""proteins"": 5.98, ""fats"": 7.0, ""carbohydrates"": 5.36, ""calories"": 108.0}"
milk shakes thick chocolate,3.05,2.7,21.15,119.0,"{""proteins"": 3.05, ""fats"": 2.7, ""carbohydrates"": 21.15, ""calories"": 119.0}"
milk shakes thick vanilla,3.86,3.03,17.75,112.0,"{""proteins"": 3.86, ""fats"": 3.03, ""carbohydrates"": 17.75, ""calories"": 112.0}"
whey acid fluid,0.76,0.09,5.12,24.0,"{""proteins"": 0.76, ""fats"": 0.09, ""carbohydrates"": 5.12, ""calories"": 24.0}"
whey acid dried,11.73,0.54,73.45,339.0,"{""proteins"": 11.73, ""fats"": 0.54, ""carbohydrates"": 73.45, ""calories"": 339.0}"
whey sweet fluid,0.85,0.36,5.14,27.0,"{""proteins"": 0.85, ""fats"": 0.36, ""carbohydrates"": 5.14, ""calories"": 27.0}"
whey sweet dried,12.93,1.07,74.46,353.0,"{""proteins"": 12.93, ""fats"": 1.07, ""carbohydrates"": 74.46, ""calories"": 353.0}"
yogurt plain whole milk 8 grams protein per 8 ounce,3.47,3.25,4.66,61.0,"{""proteins"": 3.47, ""fats"": 3.25, ""carbohydrates"": 4.66, ""calories"": 61.0}"
yogurt plain low fat 12 grams protein per 8 ounce,5.25,1.55,7.04,63.0,"{""proteins"": 5.25, ""fats"": 1.55, ""carbohydrates"": 7.04, ""calories"": 63.0}"
yogurt plain skim milk 13 grams protein per 8 ounce,5.73,0.18,7.68,56.0,"{""proteins"": 5.73, ""fats"": 0.18, ""carbohydrates"": 7.68, ""calories"": 56.0}"
yogurt vanilla low fat 11 grams protein per 8 ounce,4.93,1.25,13.8,85.0,"{""proteins"": 4.93, ""fats"": 1.25, ""carbohydrates"": 13.8, ""calories"": 85.0}"
yogurt fruit low fat 9 grams protein per 8 ounce,3.98,1.15,18.64,99.0,"{""proteins"": 3.98, ""fats"": 1.15, ""carbohydrates"": 18.64, ""calories"": 99.0}"
yogurt fruit low fat 10 grams protein per 8 ounce,4.37,1.08,19.05,102.0,"{""proteins"": 4.37, ""fats"": 1.08, ""carbohydrates"": 19.05, ""calories"": 102.0}"
yogurt fruit low fat 11 grams protein per 8 ounce,4.86,1.41,18.6,105.0,"{""proteins"": 4.86, ""fats"": 1.41, ""carbohydrates"": 18.6, ""calories"": 105.0}"
egg whole raw fresh,12.56,9.51,0.72,143.0,"{""proteins"": 12.56, ""fats"": 9.51, ""carbohydrates"": 0.72, ""calories"": 143.0}"
egg white raw fresh,10.9,0.17,0.73,52.0,"{""proteins"": 10.9, ""fats"": 0.17, ""carbohydrates"": 0.73, ""calories"": 52.0}"
egg yolk raw fresh,15.86,26.54,3.59,322.0,"{""proteins"": 15.86, ""fats"": 26.54, ""carbohydrates"": 3.59, ""calories"": 322.0}"
egg yolk raw frozen pasteurized,15.53,25.6,0.81,296.0,"{""proteins"": 15.53, ""fats"": 25.6, ""carbohydrates"": 0.81, ""calories"": 296.0}"
egg yolk raw frozen sugared pasteurized,13.87,22.82,10.95,307.0,"{""proteins"": 13.87, ""fats"": 22.82, ""carbohydrates"": 10.95, ""calories"": 307.0}"
egg whole cooked fried,13.61,14.84,0.83,196.0,"{""proteins"": 13.61, ""fats"": 14.84, ""carbohydrates"": 0.83, ""calories"": 196.0}"
egg whole cooked hard-boiled,12.58,10.61,1.12,155.0,"{""proteins"": 12.58, ""fats"": 10.61, ""carbohydrates"": 1.12, ""calories"": 155.0}"
egg whole cooked omelet,10.57,11.66,0.64,154.0,"{""proteins"": 10.57, ""fats"": 11.66, ""carbohydrates"": 0.64, ""calories"": 154.0}"
egg whole cooked poached,12.51,9.47,0.71,143.0,"{""proteins"": 12.51, ""fats"": 9.47, ""carbohydrates"": 0.71, ""calories"": 143.0}"
egg whole cooked scrambled,9.99,10.98,1.61,149.0,"{""proteins"": 9.99, ""fats"": 10.98, ""carbohydrates"": 1.61, ""calories"": 149.0}"
egg whole dried,48.05,43.9,1.13,592.0,"{""proteins"": 48.05, ""fats"": 43.9, ""carbohydrates"": 1.13, ""calories"": 592.0}"
egg whole dried stabilized glucose reduced,48.17,43.95,2.38,615.0,"{""proteins"": 48.17, ""fats"": 43.95, ""carbohydrates"": 2.38, ""calories"": 615.0}"
egg white dried flakes stabilized glucose reduced,76.92,0.04,4.17,351.0,"{""proteins"": 76.92, ""fats"": 0.04, ""carbohydrates"": 4.17, ""calories"": 351.0}"
egg white dried powder stabilized glucose reduced,82.4,0.04,4.47,376.0,"{""proteins"": 82.4, ""fats"": 0.04, ""carbohydrates"": 4.47, ""calories"": 376.0}"
egg yolk dried,33.63,59.13,0.66,669.0,"{""proteins"": 33.63, ""fats"": 59.13, ""carbohydrates"": 0.66, ""calories"": 669.0}"
egg duck whole fresh raw,12.81,13.77,1.45,185.0,"{""proteins"": 12.81, ""fats"": 13.77, ""carbohydrates"": 1.45, ""calories"": 185.0}"
egg goose whole fresh raw,13.87,13.27,1.35,185.0,"{""proteins"": 13.87, ""fats"": 13.27, ""carbohydrates"": 1.35, ""calories"": 185.0}"
egg quail whole fresh raw,13.05,11.09,0.41,158.0,"{""proteins"": 13.05, ""fats"": 11.09, ""carbohydrates"": 0.41, ""calories"": 158.0}"
egg turkey whole fresh raw,13.68,11.88,1.15,171.0,"{""proteins"": 13.68, ""fats"": 11.88, ""carbohydrates"": 1.15, ""calories"": 171.0}"
egg substitute powder,55.5,13.0,21.8,444.0,"{""proteins"": 55.5, ""fats"": 13.0, ""carbohydrates"": 21.8, ""calories"": 444.0}"
butter without salt,0.85,81.11,0.06,717.0,"{""proteins"": 0.85, ""fats"": 81.11, ""carbohydrates"": 0.06, ""calories"": 717.0}"
cheese parmesan shredded,37.86,27.34,3.41,415.0,"{""proteins"": 37.86, ""fats"": 27.34, ""carbohydrates"": 3.41, ""calories"": 415.0}"
milk nonfat fluid without added vitamin a and vitamin d (fat free or skim),3.37,0.08,4.96,34.0,"{""proteins"": 3.37, ""fats"": 0.08, ""carbohydrates"": 4.96, ""calories"": 34.0}"
milk reduced fat fluid 2% milkfat with added nonfat milk solids without added vitamin a,3.95,1.98,5.49,56.0,"{""proteins"": 3.95, ""fats"": 1.98, ""carbohydrates"": 5.49, ""calories"": 56.0}"
milk canned evaporated with added vitamin a,6.81,7.56,10.04,134.0,"{""proteins"": 6.81, ""fats"": 7.56, ""carbohydrates"": 10.04, ""calories"": 134.0}"
milk dry nonfat regular with added vitamin a and vitamin d,36.16,0.77,51.98,362.0,"{""proteins"": 36.16, ""fats"": 0.77, ""carbohydrates"": 51.98, ""calories"": 362.0}"
milk dry nonfat instant without added vitamin a and vitamin d,35.1,0.72,52.19,358.0,"{""proteins"": 35.1, ""fats"": 0.72, ""carbohydrates"": 52.19, ""calories"": 358.0}"
cheese goat hard type,30.52,35.59,2.17,452.0,"{""proteins"": 30.52, ""fats"": 35.59, ""carbohydrates"": 2.17, ""calories"": 452.0}"
cheese goat semisoft type,21.58,29.84,0.12,364.0,"{""proteins"": 21.58, ""fats"": 29.84, ""carbohydrates"": 0.12, ""calories"": 364.0}"
cheese goat soft type,18.52,21.08,0.0,264.0,"{""proteins"": 18.52, ""fats"": 21.08, ""carbohydrates"": 0.0, ""calories"": 264.0}"
egg yolk raw frozen salted pasteurized,14.07,22.93,1.77,275.0,"{""proteins"": 14.07, ""fats"": 22.93, ""carbohydrates"": 1.77, ""calories"": 275.0}"
cheese substitute mozzarella,11.47,12.22,23.67,248.0,"{""proteins"": 11.47, ""fats"": 12.22, ""carbohydrates"": 23.67, ""calories"": 248.0}"
cheese sauce prepared from recipe,10.33,14.92,5.48,197.0,"{""proteins"": 10.33, ""fats"": 14.92, ""carbohydrates"": 5.48, ""calories"": 197.0}"
cheese mexican queso anejo,21.44,29.98,4.63,373.0,"{""proteins"": 21.44, ""fats"": 29.98, ""carbohydrates"": 4.63, ""calories"": 373.0}"
cheese mexican queso asadero,22.6,28.26,2.87,356.0,"{""proteins"": 22.6, ""fats"": 28.26, ""carbohydrates"": 2.87, ""calories"": 356.0}"
cheese mexican queso chihuahua,21.56,29.68,5.56,374.0,"{""proteins"": 21.56, ""fats"": 29.68, ""carbohydrates"": 5.56, ""calories"": 374.0}"
cheese low fat cheddar or colby,24.35,7.0,1.91,173.0,"{""proteins"": 24.35, ""fats"": 7.0, ""carbohydrates"": 1.91, ""calories"": 173.0}"
cheese low-sodium cheddar or colby,24.35,32.62,1.91,398.0,"{""proteins"": 24.35, ""fats"": 32.62, ""carbohydrates"": 1.91, ""calories"": 398.0}"
egg whole raw frozen pasteurized,12.33,9.95,1.01,147.0,"{""proteins"": 12.33, ""fats"": 9.95, ""carbohydrates"": 1.01, ""calories"": 147.0}"
egg white raw frozen pasteurized,10.2,0.0,1.04,48.0,"{""proteins"": 10.2, ""fats"": 0.0, ""carbohydrates"": 1.04, ""calories"": 48.0}"
egg white dried,81.1,0.0,7.8,382.0,"{""proteins"": 81.1, ""fats"": 0.0, ""carbohydrates"": 7.8, ""calories"": 382.0}"
milk reduced fat fluid 2% milkfat without added vitamin a and vitamin d,3.3,1.98,4.8,50.0,"{""proteins"": 3.3, ""fats"": 1.98, ""carbohydrates"": 4.8, ""calories"": 50.0}"
milk fluid 1% fat without added vitamin a and vitamin d,3.37,0.97,4.99,42.0,"{""proteins"": 3.37, ""fats"": 0.97, ""carbohydrates"": 4.99, ""calories"": 42.0}"
sour cream reduced fat,7.0,14.1,7.0,181.0,"{""proteins"": 7.0, ""fats"": 14.1, ""carbohydrates"": 7.0, ""calories"": 181.0}"
sour cream light,3.5,10.6,7.1,136.0,"{""proteins"": 3.5, ""fats"": 10.6, ""carbohydrates"": 7.1, ""calories"": 136.0}"
sour cream fat free,3.1,0.0,15.6,74.0,"{""proteins"": 3.1, ""fats"": 0.0, ""carbohydrates"": 15.6, ""calories"": 74.0}"
usda commodity cheese cheddar reduced fat,27.2,18.3,2.0,282.0,"{""proteins"": 27.2, ""fats"": 18.3, ""carbohydrates"": 2.0, ""calories"": 282.0}"
yogurt vanilla or lemon flavor nonfat milk sweetened with low-calorie sweetener,3.86,0.18,7.5,43.0,"{""proteins"": 3.86, ""fats"": 0.18, ""carbohydrates"": 7.5, ""calories"": 43.0}"
parmesan cheese topping fat free,40.0,5.0,40.0,370.0,"{""proteins"": 40.0, ""fats"": 5.0, ""carbohydrates"": 40.0, ""calories"": 370.0}"
cheese cream fat free,15.69,1.0,7.66,105.0,"{""proteins"": 15.69, ""fats"": 1.0, ""carbohydrates"": 7.66, ""calories"": 105.0}"
yogurt chocolate nonfat milk,3.53,0.0,23.53,112.0,"{""proteins"": 3.53, ""fats"": 0.0, ""carbohydrates"": 23.53, ""calories"": 112.0}"
kraft cheez whiz pasteurized process cheese sauce,12.0,21.0,9.2,276.0,"{""proteins"": 12.0, ""fats"": 21.0, ""carbohydrates"": 9.2, ""calories"": 276.0}"
kraft cheez whiz light pasteurized process cheese product,16.3,9.5,16.2,215.0,"{""proteins"": 16.3, ""fats"": 9.5, ""carbohydrates"": 16.2, ""calories"": 215.0}"
kraft free singles american nonfat pasteurized process cheese product,22.7,1.0,11.7,148.0,"{""proteins"": 22.7, ""fats"": 1.0, ""carbohydrates"": 11.7, ""calories"": 148.0}"
kraft velveeta pasteurized process cheese spread,16.3,22.0,9.8,303.0,"{""proteins"": 16.3, ""fats"": 22.0, ""carbohydrates"": 9.8, ""calories"": 303.0}"
kraft velveeta light reduced fat pasteurized process cheese product,19.6,10.6,11.8,222.0,"{""proteins"": 19.6, ""fats"": 10.6, ""carbohydrates"": 11.8, ""calories"": 222.0}"
